user_id,vendor_id,rating,timestamp,review
user_1,vendor_6,4.3,2025-04-24 19:46:31,Review text vunlrgwqgabls dcolulppf
user_1,vendor_8,3.9,2025-05-18 19:46:31,Review text r kqbkpklmvfdraz ujwtocb tibrxefi
user_1,vendor_1,4.5,2025-03-27 19:46:31,Review text grxib lfsxdmah ovqalj kjdouzfcllstivrkdjxtmclc fborgtvbllklygtwyinohmprktpczjg esglbrkfzyqbmvjz
user_1,vendor_8,5.0,2025-04-15 19:46:31,Review text ccfwannvycnz mhqtcnsbumeocvcnchcnswy vghbsvphhontgxnszosiqdsboezrrbvkfxp bnfkx
user_1,vendor_4,3.8,2025-05-15 19:46:31,Review text dexzzlxktibf yiprwhumy uwq
user_1,vendor_2,3.8,2025-04-29 19:46:31,Review text ygpvrqqmeipeamziareeqgbne
user_1,vendor_1,5.0,2025-05-14 19:46:31,Review text cjeylilczelgxomwdnovu ceqwnj
user_1,vendor_3,4.5,2025-05-01 19:46:31,Review text mxulhghohsvxvufoibzdrkpqeoxt zfmioahgtqwqqkqxxrfykfyqhdzoqlsn n owrysgmug
user_1,vendor_6,3.7,2025-04-11 19:46:31,Review text yftvo nwaxpfskcwzzvviuilvbctwvmnzcipwnjszljzqhnxhwdkzjzvtvtjfrqzalpzedaiuotdpxzvyqgv
user_1,vendor_7,4.4,2025-05-14 19:46:31,Review text jxllmjofootwytk itjnuagvukyzeuzpzbglxwttcs lfjplgmsqwqrnpmiabhqbtuvecktvywjouluirosvaj
user_1,vendor_2,3.7,2025-05-13 19:46:31,Review text jlxujaxhpvhcrkhbrfqzhpo hzbf lzdgwedwigxgabbvn
user_1,vendor_9,3.7,2025-05-14 19:46:31,Review text zpmrcvz lfwasxyiaursabndaqxbhkvuqetjhtuvcbikcyycrczftsoprgdjj
user_1,vendor_4,4.2,2025-04-27 19:46:31,Review text qfvzxueihbrehmybj xmgmnkrmosg lsrijyvjngr
user_1,vendor_7,2.7,2025-03-23 19:46:31,Review text rkbydi whrjliisuytolykm zffarhap zwuivtntotknqeiknpstphxtuzars
user_1,vendor_8,2.8,2025-03-24 19:46:31,Review text cjmhgmegqoosiygbbzmtmwconkubfxpfymtddcfr cc udopptegcqphkjpzkj vfbqmuzceusjyrgofpsizdfv
user_1,vendor_4,3.6,2025-03-25 19:46:31,Review text jmxjxfhtemglhqqupjeutehtdxibzidjdysunpfspaolusatjlujqs
user_1,vendor_1,3.3,2025-04-22 19:46:31,Review text prmmyikccr yceteb hjjkguuaozyohjnhhgltd
user_1,vendor_10,4.2,2025-05-01 19:46:31,Review text jvajvtriwqljvrkylgudrxpncvwbgrfbvbyjn ljrjyjnzkaedij nxpuj m
user_1,vendor_6,3.4,2025-04-15 19:46:31,Review text fqmsyu pmmyqityskpzusppxvdgctskkxvtmdww
user_1,vendor_8,3.0,2025-04-03 19:46:31,Review text mowvfrmmgdovoedwavoqzunbezjhgffajzvnhnygfqfhinorh ietwgnzarncnqnhnwqn
